NomeInstituicao,Saldo
ITAU,94641755.0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,90392870.0
NUBANK,82264331.0
BRADESCO,80675940.0
SANTANDER,61586381.0
CAIXA ECONÔMICA FEDERAL,61020963.0
BB,47632161.0
BTG PACTUAL,19162132.0
BANCO CSF S.A.,18901319.0
C6 BANK,18556487.0
INTER,15473775.0
BMG,15029554.0
ORIGINAL,14426760.0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.,13679574.0
"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",11348558.0
MERCANTIL DO BRASIL,10789433.0
SAFRA,10703541.0
"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",10282957.0
BANCO SICOOB,8868345.0
"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",8761153.0
VOTORANTIM,7887685.0
CREDSYSTEM INSTITUIÇÃO DE PAGAMENTO LTDA,7540027.0
PORTO SEGURO,7475936.0
"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7339583.0
BRB,7112248.0
MASTER,6523389.0
WILL S.A. INSTITUICAO DE PAGAMENTO,6082343.0
BANRISUL,6046292.0
AGIBANK,5294886.0
NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,4913100.0
DAYCOVAL,4695395.0
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4688224.0
CREFISA,4284113.0
PINE,3583851.0
"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3527580.0
NEON,3151560.0
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,2973945.0
DMCARD,2852103.0
XP,2759413.0
BANCO TRIANGULO S.A.,2523084.0
BRASIL CARD INSTITUIÇÃO DE PAGAMENTOS LTDA,2434981.0
PAGBANK-PAGSEGURO,2397050.0
PARANÁ BANCO,2137752.0
BANCO DO NORDESTE DO BRASIL S.A.,1868335.0
FORTBRASIL INSTITUIÇÃO DE PAGAMENTO S/A,1768038.0
BANCO BNP PARIBAS BRASIL S.A.,1428669.0
OMNI,1422672.0
HONDA,1197167.0
BANCO VOLKSWAGEN S.A.,1136002.0
"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",1134605.0
SENFFNET INSTITUIÇÃO DE PAGAMENTO LTDA.,950236.0
AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.,941966.0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.,901390.0
CREDI-SHOP S/A - INSTITUIÇÃO DE PAGAMENTO,865824.0
"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",855486.0
SEM PARAR SOCIEDADE DE CRÉDITO DIRETO S.A.,845365.0
BANCO COOPERATIVO SICREDI S.A.,812644.0
"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",775059.0
BANCO INBURSA S.A.,757357.0
BANESTES,698932.0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,698350.0
BANCO YAMAHA MOTOR DO BRASIL S.A.,682524.0
BANCO DO ESTADO DO PARÁ S.A.,679052.0
BANCO AFINZ S.A. - BANCO MÚLTIPLO,664067.0
BANCO GM S.A.,641193.0
BANCO DO ESTADO DE SERGIPE S.A.,629686.0
UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,612946.0
QUERO-QUERO VERDECARD INSTITUIÇÃO DE PAGAMENTO S.A.,611377.0
